genres,original_title,overview,ratings,votes,overview_new
Action  Adventure  Sci-Fi,batman v superman: dawn of justice,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",6.4,642262,"fearing action superman left unchecked, batman take man steel, world wrestle kind hero really needs."
Action  Adventure  Fantasy,suicide squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,6.0,611523,secret government agency recruit dangerous incarcerated super-villains form defensive task force. first mission: save world apocalypse.
Action  Adventure  Sci-Fi,captain america: civil war,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8,675546,political involvement avengers' affair cause rift captain america iron man.
Comedy  Drama,captain fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",7.9,194321,"forest pacific northwest, father devoted raising six kid rigorous physical intellectual education forced leave paradise enter world, challenging idea mean parent."
Action  Adventure  Comedy,deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",8.0,913350,"wisecracking mercenary get experimented becomes immortal ugly, set track man ruined looks."
Drama  Thriller,nocturnal animals,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",7.5,242878,"wealthy art gallery owner haunted ex-husband's novel, violent thriller interprets symbolic revenge tale."
Action  Adventure  Fantasy,doctor strange,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",7.5,609451,"journey physical spiritual healing, brilliant neurosurgeon drawn world mystic arts."
Drama  Sci-Fi,arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,7.9,603475,linguist work military communicate alien lifeforms twelve mysterious spacecraft appear around world.
Animation  Adventure  Comedy,moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",7.6,278142,"ancient polynesia, terrible curse incurred demigod maui reach moana's island, answer ocean's call seek demigod set thing right."
Biography  Drama  History,hidden figures,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,7.8,204263,story team female african-american mathematician served vital role nasa early year u.s. space program.
Horror  Thriller,split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,7.3,432818,three girl kidnapped man diagnosed 23 distinct personalities. must try escape apparent emergence frightful new 24th.
